The Jack,She gave me the queen She gave me the king She was wheelin' and dealin' Just doin' her thing She was holdin' a pair But I had to try Her deuce was wild But my ace was high But how was I to know That she'd been dealt with before Said she'd never had a full house But I should have known From the tattoo on her left leg And the garter on her right She'd have the card to bring me down If she played it right She's got the jack she's got the jack She's got the jack she's got the jack She's got the jack she's got the jack She's got the jack she's got the jack She's got the jack jack jack jack jack jack jack She's got the jack Poker face was her name Poker face was her nature Poker straight was a game If she knew she could get you She played 'em fast And she played 'em hard She could close her eyes And feel every card But how was I to know That she'd been shuffled before Said she'd never had a royal flush But I should have known That all the cards were comin' From the bottom of the pack And if I'd known what she was dealin' out I'd have dealt it back She's got the jack she's got the jack She's got the jack and who knows what else? She's got the jack yeah yeah She's got the jack she's got the jack She's got the jack she's got the jack She's got the jack jack jack jack jack jack jack jack She's got the jack She's got the jack she's got the jack Oh it was a bad deal (jack) She gave me the (jack) hey She's got the (jack) she's got the (jack) She's got the (jack) ooh can't you tell She's got the (jack jack jack jack jack jack jack jack) (she's got the jack she's got the jack) She's got the jack she's got the jack She's got the jack you never know She's got the jack she's got the jack She's got the jack She's got the jack and it hurts! (she's got the jack) She's got the jack jack jack jack jack jack jack She's got the jack Aaaaaah Oooooh Thank you thank you thank you people thank you thank you I'm glad you like the show yes thank you very much folks Goodnight and god bless
Shoot to Thrill,All you women who want a man of the street But you don't know which way you want to turn Just keep a coming and put your hand out to me 'Cause I'm the one who's gonna make you burn I'm gonna take you down - down down down So don't you fool around I'm gonna pull it pull it pull the trigger Shoot to thrill play to kill Too many women with too many pills Shoot to thrill play to kill I got my gun at the ready gonna fire at will Yeah I'm like evil I get under your skin Just like a bomb that's ready to blow 'Cause I'm illegal I got everything That all you women might need to know I'm gonna take you down - yeah down down down So don't you fool around I'm gonna pull it pull it pull the trigger Shoot to thrill play to kill Too many women with too many pills Shoot to thrill play to kill I got my gun at the ready gonna fire at will 'Cause I shoot to thrill and I'm ready to kill I can't get enough I can't get the thrill I shoot to thrill play to kill Yeah pull the trigger Pull it Pull it pull it pull the trigger Oh Shoot to thrill play to kill Too many women with too many pills I said shoot to thrill play to kill I got my gun at the ready gonna fire at will 'Cause I shoot to thrill and I'm ready to kill And I can't get enough and I can't get my thrill Cause I shoot to thrill play it again Yeah Shoot you down Yeah I'm gonna get you to the bottom and shoot you I'm gonna shoot you Oh hoo yeah yeah yeah I'm gonna shoot you down yeah yeah I'm gonna get you down Yeah yeah yeah yeah Shoot you shoot you shoot you shoot you down Shoot you shoot you shoot you down Oh oh oh oh oh oh ooooooh I'm gonna shoot to thrill Play to kill Shoot to thrill Yeah ooh yeah
